,developer,item_id,price,year_release
3980,bethesda game studios,22330,14.99,2007
4002,bethesda game studios,22320,14.99,2002
4016,her interactive,31860,6.99,2007
4017,her interactive,31930,6.99,2007
4018,capcom,21660,19.99,2009
4021,pandemic studios,6060,9.99,2005
4109,lucasarts,32360,9.99,2009
4111,wanako games,10140,9.99,2006
4112,saber interactive,10130,19.99,2007
4114,"poptop software,breakaway games,frog city software",33520,6.99,2009
4116,sakari indie,36000,4.99,2009
4118,"bioware,aspyr (mac)",32370,9.99,2003
4164,hemisphere games,29180,9.99,2009
4168,black isle studios,38410,9.99,1998
4177,14° east,38420,9.99,2001
4179,size five games,37400,4.99,2009
4181,ubisoft montreal,13570,9.99,2005
4186,"vectorpark, inc.",37600,2.99,2009
4189,novalogic,32770,19.99,2009
4190,amanita design,40700,9.99,2009
4202,ea los angeles,24840,9.99,2007
4207,slightly mad studios,24870,19.99,2009
4208,runic games,41500,14.99,2009
4215,ea los angeles,24800,19.99,2009
4217,animation arts,40330,9.99,2009
4218,konstantin koshutin,41100,4.99,2009
4226,croteam,41000,14.99,2009
4234,bioware,17450,19.99,2009
4238,"infinity ward,aspyr (mac)",10180,19.99,2009
4318,"traveller's tales,feral interactive (mac)",32440,19.99,2009
4321,"triumph studios,virtual programming",11450,4.99,2007
4327,ea los angeles,24790,14.99,2007
4331,ea los angeles,24810,19.99,2009
4333,positech games,41800,14.99,2009
4348,gaijin entertainment,45300,9.99,2009
4350,defence alliance team,35420,0.0,2009
4354,"lucasarts,aspyr studios",32430,19.99,2009
4362,bethesda game studios,22370,19.99,2009
4423,spidermonk entertainment,38210,1.99,2009
4426,capcom,45700,19.99,2008
4440,octoshark studios,17570,0.0,2010
4470,croteam,41050,9.99,2001
4472,taleworlds entertainment,48700,19.99,2010
4846,fatshark,42120,9.99,2010
4847,rockstar north / toronto,12220,19.99,2010
4856,other ocean interactive,45730,4.99,2010
4858,nemesys games,45400,0.99,2010
4860,cold beam games,49600,9.99,2010
4923,realmforge studios,43500,9.99,2010
4925,the odd gentlemen,40930,4.99,2010
4929,muse games,49800,4.99,2010
4933,obsidian entertainment,34010,14.99,2010
4943,team17 software ltd.,22610,9.99,2010
4944,valve,630,0.0,2010
5026,"ea - maxis,aspyr (mac)",24780,19.99,2003
5036,"akella,.dat",33670,14.99,2010
5038,io interactive,28000,9.99,2010
5042,rune forge,39680,9.99,2010
5044,ino-co,63900,4.99,2010
5045,"2k czech,feral interactive (mac)",50130,29.99,2011
5085,doublesix,50510,9.99,2010
5086,vstep,48800,19.99,2010
5090,team17 digital ltd,22600,19.99,2010
5101,muzzy lane software,46770,14.99,2010
5104,paradox development studio,42960,19.99,2010
5114,gsc game world,4850,4.99,2002
5115,revolution software ltd,57640,5.99,2010
5116,zoë mode,62100,4.99,2010
5118,terry cavanagh,70300,4.99,2010
5140,frictional games,57300,19.99,2010
5260,easygamestation,70400,19.99,2010
5284,exosyphen studios,70100,4.99,2010
5286,subsoap,38600,9.99,2010
5300,"firaxis games,aspyr (mac, linux)",8930,29.99,2010
5593,croteam,41060,9.99,2002
5595,krome studios,9940,2.99,2010
5597,team17 digital ltd,22650,9.99,2010
5599,vigil games,50620,19.99,2010
5615,neocoregames,42920,9.99,2010
5617,triumph studios,61500,5.99,2010
5619,electronic arts,47790,19.99,2010
5631,"capcom co., ltd.",45750,19.99,2010
5633,obsidian entertainment,22380,9.99,2010
5945,hothead games,18040,14.99,2010
5948,klei entertainment,6120,9.99,2010
5950,teotl studios,35460,9.99,2010
5956,aspyr studios,32500,19.99,2010
5962,firemint,62000,4.99,2010
5964,gaijin games,63700,9.99,2010
5967,centauri production,33980,9.99,2010
5968,altar games,33950,4.99,2007
5970,treyarch,42700,39.99,2010
6003,oddworld inhabitants,15750,9.99,2010
6015,telltale games,31290,19.99,2010
6021,rockstar games,12100,9.99,2002
6026,rockstar games,12120,14.99,2005
6061,rockstar games,12110,9.99,2003
6076,extend studio,92300,4.99,2011
6080,bluegiant interactive,80000,14.99,2011
6083,visceral games,47780,19.99,2011
6086,uber entertainment,63200,4.99,2011
6098,sega,71165,2.99,2011
6099,the sims studio,47890,19.99,2009
6119,trinoteam,42000,4.99,2011
6121,reality pump studios,7520,19.99,2011
6126,eden studios,9930,19.99,2011
6133,gaijin games,63710,9.99,2011
6173,"kaos studios,digital extremes",55100,19.99,2011
6179,trion worlds,39120,0.0,2013
6269,stout games,94000,3.99,2011
6279,black lion studios,92700,9.99,2011
6280,11 bit studios,91200,9.99,2011
6286,martin ivanov,73170,9.99,2011
6288,800 north and digital ranch,70000,9.99,2011
6406,valve,620,19.99,2011
7096,coffee stain studios,91600,9.99,2011
7132,1c:inoco,73020,19.99,2011
7133,mode 7,98200,24.99,2011
7153,inxile entertainment,22450,4.99,2011
7155,fatshark,42140,9.99,2011
7158,obsidian entertainment,39160,14.99,2011
7162,gearbox software,57900,19.99,2011
7172,red duck inc.,102700,0.0,2011
7192,cryptic studios,9880,0.0,2009
7201,stainless games ltd,49470,19.99,2011
7203,murudai,97000,9.99,2011
7215,day 1 studios,21100,19.99,2011
7225,bedlam games,99100,14.99,2011
7227,telltale games,94590,9.99,2011
7231,secret base,105700,0.99,2011
7234,obsidian entertainment,72750,4.99,2011
7236,yeaboing,61100,4.99,2011
7238,bohemia interactive,65790,4.99,2011
7271,haemimont games,57690,14.99,2011
7313,two tribes,38740,6.99,2011
7321,minmax games ltd.,107200,9.99,2011
7341,three rings,99910,0.0,2011
7361,relic,55150,29.99,2011
7370,1c company,63940,7.99,2011
7371,flying wild hog,98400,14.99,2012
7387,ace team,22230,9.99,2011
7407,tripwire interactive,35450,19.99,2011
7674,paradox development studio,73210,9.99,2011
7677,ngd studios,111400,4.99,2011
7679,gas powered games,9420,14.99,2011
7688,edmund mcmillen and florian himsl,113200,4.99,2011
8424,1c-avalon,200230,4.99,2011
8428,gas powered games,9350,14.99,2007
8432,capcom vancouver,45770,19.99,2011
8442,double fine productions,115100,9.99,2011
8448,"vlambeer,croteam",201480,4.99,2011
8451,daybreak game company,24200,0.0,2011
8776,devil's details,71340,19.99,2011
8784,"team bondi,rockstar leeds",110800,19.99,2011
8814,cipher prime studios,61310,6.99,2011
8816,unicorn games studio,46350,3.99,2010
8817,stardock entertainment,202200,19.99,2011
8821,reloaded productions,113400,0.0,2011
9166,team 6 studios,201510,9.99,2011
9168,"vicious cycle software, inc.",23530,9.99,2011
9170,egosoft,201310,9.99,2011
9172,frozenbyte,35720,19.99,2013
9256,lionhead studios,204030,9.99,2011
9286,croteam,204340,9.99,2005
9306,cryptic studios,9900,0.0,2010
9390,"coreplay gmbh,bigmoon studios",57740,19.99,2012
9396,q-games ltd.,105800,9.99,2012
9399,puppygames,203210,9.99,2012
9408,paradox development studio,203770,39.99,2012
9555,remedy entertainment,108710,9.99,2012
9603,trashmasters,10220,11.99,2011
9608,wild shadow studios,200210,0.0,2012
10563,volition,55381,6.99,2012
10564,"ubiart montpellier,feral interactive (mac)",207490,19.99,2012
10570,strange loop games,108500,19.99,2012
10573,cobra mobile,206690,4.99,2012
10576,double fine productions,115110,9.99,2012
10578,tribute games inc.,207420,2.99,2012
10581,trickstar games,207790,9.99,2012
10582,3 sprockets,207250,3.99,2012
10592,eden industries,204180,1.99,2012
10607,trapdoor inc.,102850,9.99,2012
10610,reality pump,206610,9.99,2012
10612,bugbear,202310,9.99,2012
10614,david williamson,207430,6.99,2012
10617,piranha bytes,40390,9.99,2012
10620,devil's details,203750,14.99,2012
10624,love conquers all games,209370,9.99,2012
10629,signal studios,98300,9.99,2012
10633,slant six games,209100,29.99,2012
10636,days of wonder,108200,9.99,2012
10639,nihon falcom,207350,19.99,2012
10642,rockstar studios,204100,19.99,2012
10683,"standing stone games, llc",212500,0.0,2012
10731,cipher prime studios,209790,9.99,2012
10733,blinkworks media,207080,9.99,2012
10739,fatshark,42170,14.99,2012
10744,tt games,213330,19.99,2012
10756,nexon,212160,0.0,2012
10881,daedalic entertainment,203830,19.99,2012
10885,"standing stone games, llc",206480,0.0,2012
10910,"ubisoft paris,red storm entertainment",212630,19.99,2012
10912,airtight games,200010,8.99,2012
10920,hi-rez studios,17080,0.0,2012
11040,sakari indie &amp; grin,205550,6.99,2012
11043,misfits attic,207650,9.99,2012
11052,tennen-sozai,207400,5.99,2012
11053,robot entertainment,209270,4.99,2012
11059,fishlabs entertainment gmbh,212010,7.99,2012
11063,valve,730,14.99,2012
14042,"obsidian entertainment,aspyr (mac, linux, &amp; windows update)",208580,9.99,2005
14052,eyebrow interactive,72000,9.99,2012
14054,"rocksteady studios,feral interactive (mac)",200260,19.99,2012
14202,freebird games,206440,9.99,2011
14352,aleksey abramenko,214970,9.99,2012
14358,capybara games,61730,6.99,2012
14361,blit software,205950,7.99,2012
14366,frogwares,205650,19.99,2012
14369,bohemia interactive,65740,32.99,2012
14373,data realms,209670,19.99,2012
14400,gaijin games,205060,9.99,2012
14402,ratloop asia,215510,4.99,2012
14410,id software,208200,19.99,2012
14415,ubisoft - san francisco,205190,29.99,2012
14419,daedalic entertainment,219910,19.99,2012
14421,2x2 games,218090,19.99,2012
14423,lukewarm media,215470,7.99,2012
14467,dennaton games,219150,9.99,2012
14721,muse games,209080,4.99,2012
15021,running with scissors,223470,9.99,2003
15255,daedalic entertainment,220740,19.99,2012
15257,neko entertainment,222140,7.99,2012
15260,treyarch,202970,59.99,2012
15358,ionfx,223510,14.99,2012
15361,nexon korea corp.,212200,0.0,2012
15424,reality pump,224900,19.99,2012
15427,ascaron,225640,14.99,2012
15428,dns development,211280,9.99,2013
15430,subatomic studios llc,215710,9.99,2013
15433,born ready games ltd.,209540,19.99,2013
15451,double fine productions,221810,14.99,2013
15453,namco,228400,19.99,2013
15461,ninja theory,220440,29.99,2013
15495,focus home interactive,231140,9.99,2013
15498,megadev,224820,6.99,2013
15512,"radial games corp,dejobaan games, llc",226740,9.99,2013
15537,24 caret games,222660,9.99,2013
15539,"redlynx ltd,ubisoft  shanghaï",220160,19.99,2013
15561,running with scissors,232770,1.99,1997
15569,capcom,221040,29.99,2013
15597,shiro games,233470,9.99,2013
15630,"eric chahi,dotemu",233550,9.99,2013
15632,artifice studio,227220,0.0,2013
15652,3 sprockets,228440,7.99,2013
15654,minority media inc.,227080,14.99,2013
15660,bossa studios,233720,9.99,2013
15924,old school games,227480,9.99,2013
15931,snowbird games,232050,19.99,2013
15935,spiders,232750,14.99,2013
15941,telltale games,234710,4.99,2013
16003,zero sum games,220660,29.99,2013
16009,adam foster,235780,0.0,2013
16019,coffee stain studios,210770,14.99,2013
16157,abbey games,222730,9.99,2013
16202,point five projects,235070,4.99,2013
16204,capcom,222480,29.99,2013
16208,dontnod entertainment,228300,29.99,2013
16230,"crystal dynamics,feral interactive (mac),feral interactive (linux)",208812,2.99,2013
16232,actalogic,236790,9.99,2013
16236,nival,235360,9.99,2013
16244,behold studios,231740,9.99,2013
16254,"gearbox software,aspyr (mac &amp; linux)",218550,9.99,2013
16256,"relic entertainment,feral interactive (mac),feral interactive (linux)",231430,19.99,2013
16326,"netherrealm studios,high voltage software",237110,19.99,2013
16352,ian campbell,239800,4.99,2013
16370,dragonfly,239660,0.0,2013
16432,realmforge studios,225360,9.99,2013
16436,nadeo,243360,19.99,2013
16438,general arcade,225160,9.99,1997
16440,square enix,39140,11.99,2013
16461,"firaxis games,aspyr (mac, linux)",235580,29.99,2013
16465,two tribes,201420,14.99,2013
16471,gaijin games,205080,9.99,2013
16473,old school games,237590,9.99,2013
16474,king art,233370,24.99,2013
16475,ludosity,241320,9.99,2013
16479,harebrained schemes,234650,14.99,2013
16507,zen studios,241410,9.99,2013
16510,17-bit,228960,9.99,2013
16514,"irrational games,aspyr (mac),virtual programming (linux)",214930,4.99,2013
16515,mercurysteam - climax studios,234080,29.99,2013
16517,interceptor entertainment,217140,14.99,2013
16525,pwnee studios,210870,9.99,2013
16526,eagle dynamics sa,223770,29.99,2012
16527,larian studios,243950,39.99,2013
16533,threaks,231040,9.99,2013
16541,wayforward,237630,14.99,2013
16553,team17 digital ltd,233840,24.99,2013
16557,full control studios,242570,24.99,2013
16563,michael todd games,244870,7.99,2013
16595,spark unlimited,226720,24.99,2013
16600,"double eleven,q-games ltd.",243780,9.99,2013
16602,witch beam,250110,14.99,2015
16608,might and delight,244710,9.99,2013
16620,greenheart games,239820,9.99,2013
16932,zombie studios,111900,19.99,2013
16936,red barrels,238320,19.99,2013
17173,santa ragione,231310,14.99,2013
17179,"sega studios australia,feral interactive (mac)",227600,14.99,2013
17181,zachtronics,226960,14.99,2013
17187,"mediatonic,the irregular corporation",244810,14.99,2013
17191,scs software,227310,9.99,2013
17193,north of earth,248350,9.99,2012
17199,freakzone games,237740,4.99,2013
17217,zootfly,249680,4.99,2013
17221,tate multimedia,243450,6.99,2013
17241,"mine loader software co., ltd.",236450,9.99,2013
17260,5th cell media,249870,19.99,2013
17292,ci games,217920,19.99,2013
17294,"mine loader software co., ltd.",246255,1.99,2013
17295,magicaltimebean,251370,4.99,2012
17297,giants software,220260,19.99,2013
17327,poppermost productions,244930,0.0,2013
17397,galactic cafe,221910,14.99,2013
17585,studio bean,247140,7.99,2013
17587,telltale games,250320,24.99,2013
17647,nocturnal works,251310,14.99,2013
17649,clockstone,250460,9.99,2013
17658,carlsen games,242820,4.99,2013
17670,cyberdreams,245390,5.99,1996
17671,sparsevector,250500,2.99,2013
17719,"eidos montreal,feral interactive (mac)",238010,19.99,2013
17771,"monochrome, inc",238430,9.99,2013
17909,blue isle studios,252330,9.99,2013
17942,deep silver volition,247298,2.99,2013
17944,wales interactive,251850,14.99,2013
17947,"eden games,hydravision entertainment",259170,9.99,2008
17949,modern dream,246580,19.99,2013
17955,rising star games,247660,24.99,2013
17959,undead labs,241540,13.98,2013
18199,transhuman design,219830,9.99,2013
18251,"jackbox games, inc.",260060,2.99,1998
18253,qcf design,226620,14.99,2013
18268,b-alive,256050,19.99,2013
18270,"hopoo games, llc",248820,9.99,2013
18576,hanako games,251990,9.99,2013
18628,the indie stone,108600,14.99,2013
18796,arkedo,243280,6.99,2013
18799,"firaxis games,feral interactive (mac),feral interactive (linux)",225340,29.99,2013
18801,2play,257750,9.99,2013
18837,flyleap studios pty. ltd.,248630,14.99,2013
18853,ubisoft montreal,242050,19.99,2013
18935,8888888 labs,252070,14.99,2013
18939,polypusher studios,258950,4.99,2013
18941,axis game factory llc,253370,19.99,2013
18946,xtal sword,261700,4.99,2013
18958,space budgie,263100,0.99,2013
18960,tml studios,253770,9.99,2012
18962,storybird,259600,6.99,2013
18966,simon roth,252250,24.99,2013
18970,revolution software ltd,262940,24.99,2014
18971,harvester games,253110,9.99,2012
18975,illwinter game design,259060,34.99,2013
18977,cryptic studios,109600,0.0,2013
19227,clickteam,248170,99.99,2013
19243,nival,235400,0.0,2013
19279,wildtangent,246840,7.99,2005
19282,2darray,257120,9.99,2013
19285,netcore games,259680,6.99,2012
19300,united independent entertainment gmbh,267600,9.99,2013
19305,united independent entertainment gmbh,267610,9.99,2013
19308,interdimensional games inc,264240,9.99,2014
19312,messhof,94400,9.99,2014
19375,ubisoft sofia,260210,19.99,2014
19379,alan edwardes,261820,0.0,2014
19503,new world interactive,222880,9.99,2014
20043,ultra runaway games,263560,4.99,2013
20046,"elias viglione,jussi kukkonen",269210,5.99,2014
20111,avidly wild games,262790,14.99,2014
20114,jason rohrer,249570,15.99,2014
20120,mighty rabbit studios,263320,6.99,2014
20126,young horses,224480,14.99,2014
20216,idea factory,237890,14.99,2014
20228,gtgd,269570,14.99,2014
20230,arc system works,263300,9.99,2014
20236,limasse five,265690,14.99,2014
20238,"snk corporation,dotemu",250180,7.99,2014
20255,shining rock software llc,242920,19.99,2014
20420,matthew brown,265890,2.99,2014
20432,matthew brown,271900,2.99,2014
20438,scs software,258760,9.99,2012
20440,"damian sommer,emily carroll",269030,9.99,2013
20444,matt roszak,265610,11.99,2014
20460,last dimension,279160,6.99,2014
20462,ubisoft montreal,277590,14.99,2014
20470,mercurysteam,239250,39.99,2014
20476,nomad games,247000,7.99,2014
20512,klei entertainment,214550,6.99,2014
20516,matt thorson,251470,14.99,2014
20522,thomas bowker,266010,2.99,2014
20552,sherman3d,265870,9.99,2014
20557,square enix,258180,9.99,2014
20578,vlambeer,233150,9.99,2014
20608,rob howland,274980,9.99,2014
20617,crystal shard,283880,2.99,2014
20625,"world-loom,nitreal",279420,9.99,2014
20628,tribute games inc.,218820,19.99,2014
20644,bongfish gmbh,266370,1.99,2014
20647,jarhead games,283370,9.99,2004
20648,nikita,289340,4.99,2007
20649,wzogi,288040,4.99,2014
20651,apeiron,289600,9.99,2009
20653,opus,240970,9.99,2014
20659,"vanguard games,343 industries",277430,2.99,2014
20676,alawar,286500,9.99,2014
20680,quantized bit,290280,1.99,2014
20682,humongous entertainment,283920,6.99,1992
20684,bumpkinbrothers,271570,9.99,2014
20688,dl softworks,284950,6.99,2014
20694,humongous entertainment,283960,6.99,1996
20698,humongous entertainment,283940,6.99,1994
20700,idea factory,260130,19.99,2014
20703,mad otter games,263540,0.0,2014
20739,digital tentacle,282760,4.99,2014
20741,9heads game studios,291270,1.99,2012
20744,farsky interactive,286340,4.99,2014
20762,somi,283660,2.99,2014
20768,hippomancer,295770,4.99,2014
20769,souvenir circ.,250640,7.99,2014
20771,abstraction games,281220,9.99,2014
20772,"croteam,alligator pit",227780,9.99,2014
20778,windybeard,295730,3.99,2014
20780,minor key games,286100,0.0,2012
20816,red barrels,273300,8.99,2014
20822,puny human,225600,4.99,2014
20846,fistful of frags team,265630,0.0,2014
21185,"bitmonster, inc.",266490,14.99,2014
21188,bedtime digital games,269330,4.99,2014
21190,"nova dimension,naga entertainment",293320,5.99,2014
21194,mimimi productions,260160,19.99,2014
21200,digital happiness,269790,14.99,2014
21202,the behemoth,238460,14.99,2014
21758,digitalmindsoft,244450,29.99,2014
21803,humongous entertainment,294670,6.99,1997
21805,humongous entertainment,294540,6.99,1998
21807,forever entertainment s. a.,301190,2.99,2014
21810,hypercane studios,279520,4.99,2014
21815,winter wolves,290990,14.99,2010
21818,nabi studios,248570,0.0,2006
22142,milkstone studios,293860,4.99,2014
22148,kadokawa games / grasshopper manufacture,261110,19.99,2014
22151,haemimont games,245620,19.99,2014
22187,myrtilus entertainment,285050,5.99,2013
22191,winter wolves,293920,19.99,2011
22195,endnight games ltd,242760,14.99,2014
23035,over the moon,290770,9.99,2014
23053,uppercut games pty ltd,270510,9.99,2014
23055,owl cave,279260,5.99,2014
23057,phosphor games studio,247730,4.99,2014
23417,stage 2 studios,261530,19.99,2014
23426,"michael todd games,yazar media group llc",301460,4.99,2014
23428,smashgames,268750,9.99,2014
23584,"10th art studio,adventure productions",286360,6.99,2014
23588,3f interactive,270570,0.99,2012
23592,ci games,256190,29.99,2014
23594,heydeck games,262900,2.99,2013
23602,unfinished pixel,297490,4.99,2014
23605,lost decade games,280040,9.99,2014
23608,goldhawk interactive,223830,24.99,2014
23614,xgen studios,307640,19.99,2011
23615,silesia games sp. z o.o.,297100,4.99,2014
23618,cyanide studio,255260,9.99,2014
23620,larian studios,230230,39.99,2014
23684,megafuzz,283230,2.99,2014
23690,crytek,291480,0.0,2014
23882,game dev castle,241240,7.99,2014
23891,north of earth,293840,9.99,2014
23893,handmade game,304500,9.99,2014
23895,laminar research,292180,771.71,2014
23898,fixpoint productions ltd.,293900,4.99,2014
23904,lucky frame,310070,4.99,2014
23906,stainless games,255420,9.99,2014
23913,subvert games,302590,0.0,2016
23919,evga,268850,0.0,2014
23920,b-alive gmbh,304350,6.99,2006
23924,b-alive gmbh,307990,0.99,2013
23928,lemondo entertainment,313040,2.99,2014
23930,jumpcore productions,291370,14.99,2014
23933,galaxytrail,248310,14.99,2014
23951,nom nom games,302270,19.99,2014
23971,tribe studios,307290,0.0,2014
24006,relic entertainment,297512,3.99,2014
24007,nerdook productions,311480,6.99,2014
24009,elliptic games,314230,14.99,2014
24015,nihon falcom,251150,19.99,2014
24017,free lives,312990,0.0,2014
24165,keen games,247950,14.99,2014
24173,spry fox llc,293740,14.99,2014
24174,night node,298520,9.99,2014
24192,evil twin artworks,298480,24.99,2014
24198,88mm,306620,9.99,2014
24199,a jolly corpse,263960,14.99,2014
24202,shaunjs,305920,5.99,2014
24204,"dan  walters,ceri williams",314020,3.99,2014
24216,teyon,305980,2.99,2014
24217,gameprix,300040,0.0,2014
24238,idigicon,319180,6.99,2007
24239,idigicon,307340,6.99,2004
24241,the men who wear many hats,257710,0.0,2014
24271,colossal games,299260,9.99,2014
24274,4a games,286690,19.99,2014
24279,4a games,287390,19.99,2014
24293,xaviant,261760,39.99,2014
24317,social loner studios,312010,1.99,2011
24319,eko software,250400,14.99,2013
24418,nine dots studio,262750,19.99,2014
24422,bs1 &amp; bsl team,321030,3.99,2014
24423,lionhead studios,288470,34.99,2014
24433,arkavi studios,246940,29.99,2014
24435,visualarts/key,316720,9.99,2004
24440,shortbreak studios s.c.,319550,2.99,2014
24454,remimory,317410,0.0,2014
24463,electrolyte,319560,6.99,2014
24465,"cyberconnect2 co., ltd.",272510,29.99,2014
24485,brain bombers,321610,4.99,2011
24486,"gravvit ltd,forbes  consult ltd",290730,0.0,2014
24496,amplitude studios,289130,29.99,2014
24530,ankama studio,215080,0.0,2014
24565,terri vellmann,297120,9.99,2014
24571,inxile entertainment,240760,39.99,2014
24595,tasty stewdios llc,319250,9.99,2014
24599,firefly studios,232890,49.99,2014
24607,creativeforge games,249190,19.99,2014
24608,hidden path entertainment,221540,14.99,2014
24620,frogwares,241260,29.99,2014
24622,"fromsoftware, inc",271944,9.99,2014
24624,"monolith productions, inc.,feral interactive (mac),feral interactive (linux)",318550,9.99,2014
24626,"monolith productions,feral interactive (mac),feral interactive (linux)",241930,19.99,2014
24810,final boss entertainment,253610,9.99,2014
24812,minor key games,310700,7.99,2014
24814,disney interactive,319400,5.99,2011
24815,cyanide studio,242640,29.99,2014
24817,nexon,273110,0.0,2014
25005,"monolith productions, inc.",327740,9.99,2003
25006,artefacts studio,322980,4.99,2013
25009,tango gameworks,268050,19.99,2014
25016,bossa studios,325090,4.99,2014
25019,game-labs,306660,14.99,2014
25025,codemasters,226580,29.99,2014
25033,"microprose software, inc",327950,6.99,1989
25035,samurai punk,301970,14.99,2014
25049,odin game studio,318220,19.99,2014
25070,double fine productions,246090,9.99,2014
25085,david szymanski,329830,1.99,2014
25087,giants software,313160,19.99,2014
25101,entrada interactive llc,299740,19.99,2014
25133,gl33k,297110,2.99,2014
25139,"nicalis, inc.",250900,14.99,2014
25269,good games,323240,1.99,2014
25271,freebird games,327410,3.99,2014
25304,full control studios,317620,29.99,2014
25308,frima studio,319450,14.99,2014
25310,naiad entertainment llc,259410,4.99,2014
25315,"ubisoft montreal, red storm, shanghai, toronto, kiev",298110,29.99,2014
25379,might and delight,302010,4.99,2014
25381,"upper one games,e-line media",295790,14.99,2014
25389,fatshark,226560,14.99,2014
25390,infinity plus 2,329110,0.0,2014
25402,whitemoon dreams,253510,0.0,2014
25404,studio whisky tango inc.,326150,9.99,2014
25407,vis - visual imagination software,331120,0.0,2014
25413,fayju,332570,15.99,2014
25419,badland studio,227160,19.99,2014
25428,dekovir entertainment,248390,18.99,2014
25444,axis game factory,270942,14.99,2014
25449,moenovel,326480,14.99,2013
25464,portalarium,326160,39.99,2014
25467,"cd projekt red,can explode",303800,9.99,2014
25469,grynsoft,318530,14.99,2014
25484,"hassey enterprises, inc.",294160,0.0,2014
25496,vortal storm,270370,0.0,2014
25512,benjamin bryant,317790,0.0,2014
25515,square enix,292140,19.99,2014
25520,kintogames,331440,3.99,2014
25532,dingaling,335670,9.99,2014
25541,blankmediagames,334230,4.99,2014
25616,"badfly interactive, a.s.",286040,4.99,2014
25624,kojima productions,311340,19.99,2014
25660,doubledutch games,207140,14.99,2016
26045,duelboot,324120,4.99,2014
26048,shumkov dmitriy,302830,0.0,2014
26195,choice of games,339350,9.99,2014
26201,robtop games,322170,3.99,2014
26305,colonthree enterprises,336380,0.99,2014
26308,dimmdrive inc.,337070,19.99,2015
26309,snails animation,339290,4.99,2015
26315,forever entertainment s. a.,340300,4.99,2015
26321,nyamyam,299680,4.99,2015
26324,huniepot,339800,9.99,2015
26480,axis game factory llc,266590,79.99,2013
26485,"capcom co., ltd.",304240,19.99,2015
26495,andy wallace,295690,0.98,2015
26501,beam team games,313120,14.99,2015
26699,petroglyph,290790,29.99,2015
26702,invertmouse,345650,0.0,2015
